C14Age,C14SD,Laboratory code,Site
3415,85,AA-12483,SMM
3745,75,AA-12484,SMM
3885,70,AA-12486,SMM
4975,70,AA-12487,SMM
4980,85,AA-14775,SMM
5590,65,AA-14776,SMM
1730,50,AA-16493,Aussois
4495,55,AA-16494,SMM
3970,45,AA-16495,SMM
2670,55,AA-16496,SMM
5125,50,AA-16497,SMM
5115,245,AA-19115,SMM
3680,95,AA-19116,SMM
3280,80,AA-19117,SMM
6715,95,AA-19118,SMM
3245,80,AA-19119,SMM
1025,100,AA-20464,Aussois
210,100,AA-20465,Aussois
1095,100,AA-20466,Aussois
405,55,AA-20468,Aussois
3170,115,AA-20469,Aussois
2330,110,AA-20470,Aussois
3845,75,AA-20471,Aussois
3340,65,AA-20472,Aussois
3605,65,AA-20473,Aussois
4175,105,AA-20474,Aussois
3955,65,AA-20475,SMM
3800,65,AA-20476,SMM
3148,39,AA-62128,SMM
3180,41,AA-62129,SMM
3263,39,AA-62130,SMM
1793,38,AA-62131,SMM
4068,42,AA-62132,SMM
3613,40,AA-63126,Aussois
5202,44,AA-63487,SMM
5607,47,AA-63488,SMM
4100,50,Lyon-1078(OxA),SMM
2300,40,Lyon-2592(Pol),SMM
120,35,Lyon-2593(Pol),SMM
1230,50,Lyon-298(OxA),Aussois
1700,50,Lyon-299(OxA),Aussois
4665,60,Lyon-300(OxA),Aussois
4530,60,Lyon-301(OxA),Aussois
3580,65,Lyon-302(OxA),SMM
4040,55,Lyon-865(OxA),SMM
4605,45,Lyon-866(OxA),SMM
6070,50,Lyon-867(OxA),SMM
5550,55,Lyon-868(OxA),SMM
4455,55,Lyon-869(OxA),SMM
3675,55,Lyon-870(OxA),Aussois
4730,45,Lyon-871(OxA),Aussois
3990,40,Lyon-872(OxA),ussois
3745,45,Lyon-873(OxA),Aussois
5470,50,SacA-1650 ,SMM
1600,35,SacA-1651 ,SMM
3875,40,SacA-1652 ,SMM
2890,35,SacA-1653 ,SMM
4335,45,SacA-1654 ,SMM
3840,40,SacA-1655 ,SMM
5270,45,SacA-1656 ,SMM
5210,45,SacA-1657 ,SMM
3515,35,SacA-1658 ,SMM
3755,40,SacA-1659 ,SMM
295,45,SacA-3844,Aussois
324,45,SacA-3845,Aussois
1150,50,SacA-3846,Aussois
2955,50,SacA-3847,Aussois
2945,50,SacA-3848,Aussois
5610,60,SacA-3849,Aussois
3100,50,SacA-3850,Lanslevillard
4900,60,SacA-3851 ,Lanslevillard
2925,45,SacA-3852 ,Lanslevillard
1060,50,SacA-3853 ,Lanslevillard
1090,45,SacA-3854 ,Lanslevillard
5730,60,SacA-3855 ,Lanslevillard
860,45,SacA-3856 ,Lanslevillard
2820,50,SacA-3857 ,Lanslevillard
365,50,SacA-3858 ,Lanslevillard
2855,50,SacA-3859 ,Lanslevillard
3145,45,SacA-3860 ,Lanslevillard
3125,45,SacA-3861 ,Lanslevillard
1020,40,SacA-3862,Lanslevillard
4350,50,SacA-3863 ,Lanslevillard
1740,60,SacA-3864 ,Lanslevillard
1710,45,SacA-3865 ,Lanslevillard
2180,45,SacA-3866,Lanslevillard
2170,45,SacA-3867 ,Lanslevillard
6210,60,SacA-3868 ,Lanslevillard
6240,60,SacA-3869 ,Lanslevillard
2250,50,SacA-3870 ,Lanslevillard
4440,50,SacA-3871,Lanslevillard
4670,50,SacA-3872,Lanslevillard
4510,50,SacA-3873 ,Lanslevillard
